recording_datetime,site_name,arid,offset_seconds,offset_end_seconds,tag,audio_link
20230506T050000+0700,Site-11,1406067,1545.0,1550.0,goshawk,https://api.ecosounds.org/audio_recordings/1406067/media.flac?start_offset=1545.0&end_offset=1550.0
20230507T080800+0700,Site-120,1378080,1830.0,1835.0,goshawk,https://api.ecosounds.org/audio_recordings/1378080/media.flac?start_offset=1830.0&end_offset=1835.0
20230508T050000+0700,Site-20,1323885,2315.0,2320.0,goshawk,https://api.ecosounds.org/audio_recordings/1323885/media.flac?start_offset=2315.0&end_offset=2320.0
20230508T050000+0700,Site-20,1323885,3260.0,3265.0,goshawk,https://api.ecosounds.org/audio_recordings/1323885/media.flac?start_offset=3260.0&end_offset=3265.0
20230510T050000+0700,Site-111,1394371,3285.0,3290.0,goshawk,https://api.ecosounds.org/audio_recordings/1394371/media.flac?start_offset=3285.0&end_offset=3290.0
20230513T090900+0700,Site-120,1380049,3250.0,3255.0,goshawk,https://api.ecosounds.org/audio_recordings/1380049/media.flac?start_offset=3250.0&end_offset=3255.0
20230513T160000+0700,Site-20,1323373,965.0,970.0,goshawk,https://api.ecosounds.org/audio_recordings/1323373/media.flac?start_offset=965.0&end_offset=970.0
20230514T060000+0700,Site-20,1334695,1875.0,1880.0,goshawk,https://api.ecosounds.org/audio_recordings/1334695/media.flac?start_offset=1875.0&end_offset=1880.0
20230514T070000+0700,Site-20,1334688,2130.0,2135.0,goshawk,https://api.ecosounds.org/audio_recordings/1334688/media.flac?start_offset=2130.0&end_offset=2135.0
20230514T100000+0700,Site-11,1407153,910.0,915.0,goshawk,https://api.ecosounds.org/audio_recordings/1407153/media.flac?start_offset=910.0&end_offset=915.0
20230514T130000+0700,Site-119,1379062,1060.0,1065.0,goshawk,https://api.ecosounds.org/audio_recordings/1379062/media.flac?start_offset=1060.0&end_offset=1065.0
20230514T160000+0700,Site-20,1323330,1210.0,1215.0,goshawk,https://api.ecosounds.org/audio_recordings/1323330/media.flac?start_offset=1210.0&end_offset=1215.0
